类别,条目,详情,来源
跨类型冲突,《京都议定书》,协议名 | 文件名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,《哥本哈根协议》,协议名 | 文件名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,《巴塞尔公约》,协议名 | 文件名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,《巴黎协定》,协议名 | 文件名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,《生物多样性公约》第十五次缔约方大会,会议名 | 生态名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,《联合国宪章》,协议名 | 文件名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,《联合国气候变化框架公约》,协议名 | 文件名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,《联合国气候行动峰会：中方的立场和行动》,文件名 | 气候变化名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,一个中国原则,外交与国际关系名 | 治理名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,一道携手,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,不可推卸的历史责任,气候变化名 | 责任话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,不可推卸的责任,责任名 | 责任话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,不同责任,责任名 | 责任话语名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,不折不扣予以落实,行动话语名 | 责任名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,不负责任,责任名 | 责任话语名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,两国人民,其他名 | 外交与国际关系名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,两岸舆论宣传话语权,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,严正交涉,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,中国—中东欧国家林业合作高级别会议,会议名 | 治理名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,中国人民,势力名 | 治理名,relatio字典2025-02-19.txt | 新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt
跨类型冲突,中国共产党执政话语体系研究,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
